db_id	disease_name	gene_symbol	pmid
803	Amyotrophic lateral sclerosis	GLT8D1	30811981[PMID]
803	Amyotrophic lateral sclerosis	CHCHD10	25113787[PMID]_25261972[PMID]_25113788[PMID]_25261971[PMID]_25348631[PMID]_25348633[PMID]_25155093[PMID]
803	Amyotrophic lateral sclerosis	DAO	24085347[PMID]_20368421[PMID]
803	Amyotrophic lateral sclerosis	ATXN2	24085347[PMID]
803	Amyotrophic lateral sclerosis	CHMP2B	20352044[PMID]_23155438[PMID]_16807408[PMID]
803	Amyotrophic lateral sclerosis	SOD1	20301623[PMID]_23941283[PMID]
803	Amyotrophic lateral sclerosis	TREM2	24535663[PMID]
803	Amyotrophic lateral sclerosis	VAPB	20301623[PMID]_23941283[PMID]
803	Amyotrophic lateral sclerosis	VCP	24085347[PMID]
803	Amyotrophic lateral sclerosis	NEFH	23941283[PMID]
803	Amyotrophic lateral sclerosis	OPTN	24085347[PMID]
803	Amyotrophic lateral sclerosis	DCTN1	23941283[PMID]
803	Amyotrophic lateral sclerosis	TARDBP	24085347[PMID]
803	Amyotrophic lateral sclerosis	FIG4	24085347[PMID]
803	Amyotrophic lateral sclerosis	FUS	24085347[PMID]
803	Amyotrophic lateral sclerosis	ANG	23941283[PMID]_20301623[PMID]
803	Amyotrophic lateral sclerosis	MATR3	24686783[PMID]
803	Amyotrophic lateral sclerosis	PRPH	
803	Amyotrophic lateral sclerosis	PON1	20582942[PMID]_23941283[PMID]
803	Amyotrophic lateral sclerosis	PON2	20582942[PMID]_23941283[PMID]
803	Amyotrophic lateral sclerosis	PON3	20582942[PMID]_23941283[PMID]
803	Amyotrophic lateral sclerosis	SQSTM1	23303844[PMID]_24138988[PMID]_22084127[PMID]_24085347[PMID]
803	Amyotrophic lateral sclerosis	UBQLN2	24085347[PMID]
803	Amyotrophic lateral sclerosis	C9ORF72	24085347[PMID]
803	Amyotrophic lateral sclerosis	PFN1	22801503[PMID]_23428184[PMID]_24085347[PMID]
803	Amyotrophic lateral sclerosis	TBK1	25700176[PMID]
803	Amyotrophic lateral sclerosis	HNRNPA1	23455423[PMID]
803	Amyotrophic lateral sclerosis	PPARGC1A	23669350[PMID]
803	Amyotrophic lateral sclerosis	ERBB4	24119685[PMID]
803	Amyotrophic lateral sclerosis	UNC13A	24931836[PMID]_19734901[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	TNFRSF1A	22801493[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	HLA-DRB1	24019748[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	HLA-DQB1	12557126[PMID]_14669136[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	PDCD1	15912506[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	ANKRD55	23315543[PMID]
802	NON RARE IN EUROPE: Multiple sclerosis	CD24	22937211[PMID]
100	Ataxia-telangiectasia	ATM	20301790[PMID]
399	Huntington disease	HTT	20301482[PMID]_21566141[PMID]
399	Huntington disease	SLC2A3	24452335[PMID]
501	Lafora disease	EPM2A	20301563[PMID]_22047982[PMID]_22669944[PMID]
501	Lafora disease	NHLRC1	20301563[PMID]_22047982[PMID]_22669944[PMID]
166011	Multiple epiphyseal dysplasia, Beighton type	COL2A1	9800905[PMID]
567	22q11.2 deletion syndrome	TBX1	14585638[PMID]
567	22q11.2 deletion syndrome	TBX1	
567	22q11.2 deletion syndrome	ARVCF	
567	22q11.2 deletion syndrome	GP1BB	
567	22q11.2 deletion syndrome	UFD1	
567	22q11.2 deletion syndrome	COMT	
567	22q11.2 deletion syndrome	HIRA	15177686[PMID]
567	22q11.2 deletion syndrome	JMJD1C	26608785[PMID]
567	22q11.2 deletion syndrome	RREB1	26608785[PMID]
567	22q11.2 deletion syndrome	SEC24C	26608785[PMID]
232	Sickle cell anemia	HBB	20301551[PMID]_24361300[PMID]
536	Systemic lupus erythematosus	PXK	22592861[PMID]
536	Systemic lupus erythematosus	IGHG1	30287618[PMID]
536	Systemic lupus erythematosus	CTLA4	23922195[PMID]
536	Systemic lupus erythematosus	TREX1	17660818[PMID]_23732569[PMID]
536	Systemic lupus erythematosus	HLA-DRB1	22654485[PMID]_19838195[PMID]_23917156[PMID]_23407388[PMID]_22893315[PMID]_23793423[PMID]_21695597[PMID]
536	Systemic lupus erythematosus	IL10	23936042[PMID]_22654485[PMID]_19838195[PMID]_20576226[PMID]
536	Systemic lupus erythematosus	MECP2	23857988[PMID]_23428850[PMID]_22904263[PMID]_19440199[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	FCGR3B	23917156[PMID]_21296850[PMID]_20442749[PMID]
536	Systemic lupus erythematosus	C4A	22654485[PMID]_23914156[PMID]_10092831[PMID]_17503323[PMID]_15998580[PMID]_12133986[PMID]
536	Systemic lupus erythematosus	C4B	3265961[PMID]_22654485[PMID]_23914156[PMID]_10092831[PMID]_17503323[PMID]_15998580[PMID]_12133986[PMID]
536	Systemic lupus erythematosus	CR2	17360460[PMID]_22673213[PMID]
536	Systemic lupus erythematosus	BLK	23917156[PMID]_23943494[PMID]_18204098[PMID]_22696686[PMID]_22654485[PMID]_24091983[PMID]
536	Systemic lupus erythematosus	IRF5	15657875[PMID]_23943494[PMID]_23917156[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	PDCD1	12402038[PMID]
536	Systemic lupus erythematosus	PTPN22	15273934[PMID]_19838195[PMID]_23966601[PMID]_23950893[PMID]_23943494[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	STAT4	17804842[PMID]_23943494[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	FCGR2B	23943494[PMID]_12115230[PMID]_20385827[PMID]
536	Systemic lupus erythematosus	DNASE1	11479590[PMID]
536	Systemic lupus erythematosus	BANK1	22039224[PMID]_21978998[PMID]_21900951[PMID]_23943494[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	ITGAM	19286673[PMID]_23917156[PMID]_23943494[PMID]
536	Systemic lupus erythematosus	KIAA0319L	23740937[PMID]
536	Systemic lupus erythematosus	JAZF1	19838195[PMID]
536	Systemic lupus erythematosus	TNIP1	23917156[PMID]_23858047[PMID]_22833143[PMID]_22087647[PMID]_19838195[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	TNFAIP3	23943494[PMID]_21336280[PMID]_20617138[PMID]_24039598[PMID]_24091983[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	UBE2L3	23917156[PMID]_22045845[PMID]_22476155[PMID]_24091983[PMID]_23943494[PMID]
536	Systemic lupus erythematosus	TNFSF4	24091983[PMID]_22850862[PMID]_22820624[PMID]_21905002[PMID]_23943494[PMID]_19838193[PMID]_22654485[PMID]
536	Systemic lupus erythematosus	SPP1	19440199[PMID]_11933203[PMID]_24023622[PMID]_18335026[PMID]_15692970[PMID]
536	Systemic lupus erythematosus	IRAK1	23435933[PMID]_22904263[PMID]_18050247[PMID]_19440199[PMID]_22654485[PMID]_23943494[PMID]
536	Systemic lupus erythematosus	ETS1	23236436[PMID]_22087647[PMID]
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A1	20301302[PMID]
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A2	20301302[PMID]
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A3	20301302[PMID]
534	Oculocerebrorenal syndrome of Lowe	OCRL	20301653[PMID]
165991	Exercise-induced hyperinsulinism	SLC16A1	17701893[PMID]
652	Multiple endocrine neoplasia type 1	CDKN1B	22026581[PMID]_25824098[PMID]
652	Multiple endocrine neoplasia type 1	CDKN1A	19141585[PMID]
652	Multiple endocrine neoplasia type 1	CDKN2B	19141585[PMID]
652	Multiple endocrine neoplasia type 1	CDKN2C	19141585[PMID]
652	Multiple endocrine neoplasia type 1	MEN1	20301710[PMID]
908	Fragile X syndrome	FMR1	20301558[PMID]
47	X-linked agammaglobulinemia	BTK	20301626[PMID]
905	Wilson disease	ATP7B	23333878[PMID]_22240481[PMID]
792	X-linked retinoschisis	RS1	
827	Stargardt disease	CNGB3	15712225[PMID]
827	Stargardt disease	PRPH2	
827	Stargardt disease	ABCA4	20633576[PMID]
827	Stargardt disease	ELOVL4	20633576[PMID]
827	Stargardt disease	PROM1	18654668[PMID]
906	Wiskott-Aldrich syndrome	WAS	
906	Wiskott-Aldrich syndrome	WIPF1	22231303[PMID]
904	Williams syndrome	STX1A	9311751[PMID]
904	Williams syndrome	RFC2	20301427[PMID]
904	Williams syndrome	NCF1	9311751[PMID]
904	Williams syndrome	FKBP6	
904	Williams syndrome	MLXIPL	
904	Williams syndrome	VPS37D	
904	Williams syndrome	DNAJC30	
904	Williams syndrome	BCL7B	
904	Williams syndrome	ABHD11	
904	Williams syndrome	CLDN3	
904	Williams syndrome	CLDN4	
904	Williams syndrome	EIF4H	
904	Williams syndrome	LAT2	
904	Williams syndrome	BUD23	
904	Williams syndrome	METTL27	
904	Williams syndrome	TMEM270	
904	Williams syndrome	BAZ1B	20301427[PMID]
904	Williams syndrome	TBL2	20301427[PMID]
904	Williams syndrome	CLIP2	20301427[PMID]
904	Williams syndrome	ELN	20301427[PMID]
904	Williams syndrome	GTF2I	20301427[PMID]
904	Williams syndrome	GTF2IRD1	20301427[PMID]
904	Williams syndrome	LIMK1	20301427[PMID]
904	Williams syndrome	GTF2IRD2	
280	Wolf-Hirschhorn syndrome	PIGG	26239400[PMID]
280	Wolf-Hirschhorn syndrome	CPLX1	26239400[PMID]
280	Wolf-Hirschhorn syndrome	CTBP1	26239400[PMID]
280	Wolf-Hirschhorn syndrome	NSD2	
280	Wolf-Hirschhorn syndrome	NELFA	
280	Wolf-Hirschhorn syndrome	LETM1	
15	Achondroplasia	FGFR3	23149434[PMID]
96	Ataxia with vitamin E deficiency	TTPA	
101	Dentatorubral pallidoluysian atrophy	ATN1	
163649	Spondyloepiphyseal dysplasia, Nishimura type	MIR140	30804514[PMID]
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	IL2RG	
481	Kennedy disease	AR	
664	Ornithine transcarbamylase deficiency	OTC	24006547[PMID]
394	Classic homocystinuria	CBS	20301697[PMID]
508	Leprechaunism	INSR	12023989[PMID]
163596	Hb Bart's hydrops fetalis	HBA2	
163596	Hb Bart's hydrops fetalis	HBA1	
429	Hypochondroplasia	FGFR3	20301650[PMID]_23149434[PMID]
104	Leber hereditary optic neuropathy	NDUFS2	28031252[PMID]
104	Leber hereditary optic neuropathy	DNAJC30	33465056[PMID]
104	Leber hereditary optic neuropathy	MT-ATP6	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-CO1	1322638[PMID]
104	Leber hereditary optic neuropathy	MT-CO3	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-CYB	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND1	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND2	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND4	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND4L	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND5	20301353[PMID]
104	Leber hereditary optic neuropathy	MT-ND6	20301353[PMID]
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	L1CAM	20301657[PMID]
163634	Maffucci syndrome	IDH2	22057234[PMID]_22057236[PMID]
163634	Maffucci syndrome	IDH1	22057234[PMID]_22057236[PMID]
163717	Benign familial mesial temporal lobe epilepsy	CPA6	21922598[PMID]
649	Norrie disease	NDP	9228243[PMID]_20301506[PMID]
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	TBC1D24	31257402[PMID]
163721	Rolandic epilepsy-speech dyspraxia syndrome	SRPX2	16497722[PMID]
163721	Rolandic epilepsy-speech dyspraxia syndrome	GRIN2A	23933818[PMID]
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	SCP2	16685654[PMID]
163681	CNTNAP2-related developmental and epileptic encephalopathy	CNTNAP2	16571880[PMID]
379	Chronic granulomatous disease	CYBB	22876374[PMID]
379	Chronic granulomatous disease	NCF1	22876374[PMID]
379	Chronic granulomatous disease	NCF2	22876374[PMID]
379	Chronic granulomatous disease	CYBA	22876374[PMID]
379	Chronic granulomatous disease	NCF4	22876374[PMID]
379	Chronic granulomatous disease	CYBC1	30361506[PMID]
16	Blue cone monochromatism	OPN1MW	15069569[PMID]
16	Blue cone monochromatism	OPN1LW	15069569[PMID]
163699	Alveolar soft tissue sarcoma	TFE3	21279521[PMID]
163699	Alveolar soft tissue sarcoma	ASPSCR1	21279521[PMID]
644	NARP syndrome	MT-ATP6	20301352[PMID]
637	Neurofibromatosis type 2	NF2	20301380[PMID]
163696	Action myoclonus-renal failure syndrome	SCARB2	26677510[PMID]
181	X-linked hypohidrotic ectodermal dysplasia	EDA	
181	X-linked hypohidrotic ectodermal dysplasia	EDA2R	22889853[PMID]
163693	2p21 microdeletion syndrome	SLC3A1	11524703[PMID]
163693	2p21 microdeletion syndrome	PREPL	11524703[PMID]
163693	2p21 microdeletion syndrome	CAMKMT	11524703[PMID]
163693	2p21 microdeletion syndrome	PPM1B	11524703[PMID]
163690	Hypotonia-cystinuria syndrome	SLC3A1	16385448[PMID]
163690	Hypotonia-cystinuria syndrome	PREPL	16385448[PMID]
337	Fibrodysplasia ossificans progressiva	ACVR1	23011467[PMID]
377	Gorlin syndrome	PTCH1	20301330[PMID]_19032739[PMID]
377	Gorlin syndrome	SUFU	25403219[PMID]_19533801[PMID]_22829011[PMID]
377	Gorlin syndrome	PTCH2	18285427[PMID]_23479190[PMID]
648	Noonan syndrome	RRAS	24705357[PMID]
648	Noonan syndrome	MRAS	28289718[PMID]
648	Noonan syndrome	RRAS2	31130285[PMID]
648	Noonan syndrome	PTPN11	19760651[PMID]
648	Noonan syndrome	CBL	25952305[PMID]
648	Noonan syndrome	SOS1	17143285[PMID]
648	Noonan syndrome	KRAS	16773572[PMID]
648	Noonan syndrome	RAF1	17603483[PMID]
648	Noonan syndrome	NRAS	19966803[PMID]
648	Noonan syndrome	RIT1	23791108[PMID]
648	Noonan syndrome	LZTR1	25795793[PMID]
648	Noonan syndrome	A2ML1	24939586[PMID]
648	Noonan syndrome	RASA2	25049390[PMID]
648	Noonan syndrome	SOS2	25795793[PMID]
281	Monosomy 5p	SEMA5A	
281	Monosomy 5p	CTNND2	
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	HSD17B3	
510	Lesch-Nyhan syndrome	HPRT1	
524	Li-Fraumeni syndrome	CDKN2A	28592523[PMID]_29263814[PMID]
524	Li-Fraumeni syndrome	MDM2	23884452[PMID]
524	Li-Fraumeni syndrome	TP53	20301488[PMID]
524	Li-Fraumeni syndrome	CHEK2	11719428[PMID]_21562711[PMID]_20301488[PMID]
640	Hereditary neuropathy with liability to pressure palsies	PMP22	
640	Hereditary neuropathy with liability to pressure palsies	PMP22	
60	Alpha-1-antitrypsin deficiency	SERPINA1	20301692[PMID]
895	Waardenburg syndrome type 2	KITLG	26522471[PMID]
895	Waardenburg syndrome type 2	TYR	9158138[PMID]
895	Waardenburg syndrome type 2	SNAI2	12444107[PMID]
895	Waardenburg syndrome type 2	SOX10	21898658[PMID]_17999358[PMID]
895	Waardenburg syndrome type 2	MITF	23098757[PMID]
895	Waardenburg syndrome type 2	EDNRB	28236341[PMID]
896	Waardenburg syndrome type 3	PAX3	8447316[PMID]_7726174[PMID]_12949970[PMID]
857	Townes-Brocks syndrome	SALL1	20301618[PMID]
857	Townes-Brocks syndrome	DACT1	28054444[PMID]
894	Waardenburg syndrome type 1	PAX3	20301703[PMID]
682	Hyperkalemic periodic paralysis	SCN4A	20301669[PMID]_17395131[PMID]
800	Schwartz-Jampel syndrome	HSPG2	19367640[PMID]
706	NON RARE IN EUROPE: Patent arterial duct	MYH11	17956658[PMID]
628	Diastrophic dysplasia	SLC26A2	20301524[PMID]
681	Hypokalemic periodic paralysis	SCN4A	20301512[PMID]
681	Hypokalemic periodic paralysis	CACNA1S	20301512[PMID]
681	Hypokalemic periodic paralysis	KCNE3	14504341[PMID]_15037713[PMID]
107	BOR syndrome	SIX1	20301554[PMID]
107	BOR syndrome	EYA1	20301554[PMID]
107	BOR syndrome	SIX5	20301554[PMID]
774	Hereditary hemorrhagic telangiectasia	ACVRL1	20301525[PMID]
774	Hereditary hemorrhagic telangiectasia	SMAD4	20301525[PMID]
774	Hereditary hemorrhagic telangiectasia	ENG	20301525[PMID]
774	Hereditary hemorrhagic telangiectasia	GDF2	23972370[PMID]
794	Saethre-Chotzen syndrome	FGFR3	
794	Saethre-Chotzen syndrome	FGFR2	9585583[PMID]_10425034[PMID]
794	Saethre-Chotzen syndrome	TWIST1	9585583[PMID]
2869	Peutz-Jeghers syndrome	STK11	9837816[PMID]_20581245[PMID]_20301443[PMID]
862	NON RARE IN EUROPE: Hereditary essential tremor	DRD3	19645064[PMID]_16809426[PMID]_16650084[PMID]
862	NON RARE IN EUROPE: Hereditary essential tremor	FUS	22863194[PMID]_23825177[PMID]
862	NON RARE IN EUROPE: Hereditary essential tremor	LINGO1	22166413[PMID]
862	NON RARE IN EUROPE: Hereditary essential tremor	TENM4	26188006[PMID]
893	WAGR syndrome	BDNF	23266638[PMID]
893	WAGR syndrome	WT1	20301534[PMID]_23266638[PMID]
893	WAGR syndrome	PAX6	20301534[PMID]_23266638[PMID]
912	Zellweger syndrome	PEX11B	22581968[PMID]
912	Zellweger syndrome	PEX2	20301621[PMID]
912	Zellweger syndrome	PEX1	20301621[PMID]
912	Zellweger syndrome	PEX10	20301621[PMID]
912	Zellweger syndrome	PEX12	20301621[PMID]
912	Zellweger syndrome	PEX13	20301621[PMID]
912	Zellweger syndrome	PEX14	20301621[PMID]
912	Zellweger syndrome	PEX16	20301621[PMID]
912	Zellweger syndrome	PEX19	20301621[PMID]
912	Zellweger syndrome	PEX26	20301621[PMID]
912	Zellweger syndrome	PEX3	20301621[PMID]
912	Zellweger syndrome	PEX5	20301621[PMID]
912	Zellweger syndrome	PEX6	20301621[PMID]
53	Albers-Schönberg osteopetrosis	CLCN7	11741829[PMID]_20301306[PMID]
14	Abetalipoproteinemia	MTTP	22378282[PMID]_24288038[PMID]_23556456[PMID]
