name	harmonized_name
MISSION THERAPEUTICS LTD	Mission Therapeutics Ltd.
MIT BESCHRANKTER HAFTUNG MERCK PATENT GES	Merck
MITOCHONDRIAL SUBSTRATE INVENTION LTD	Mitocholine Ltd
MITOKININ INC	Mitokinin
MITSUBISHI CHEM CORP	Mitsubishi Chemical Holdings
MITSUBISHI CHEMICAL CO	Mitsubishi Chemical Corporation
MITSUBISHI GAS CHEMICAL CO	Mitsubishi Chemical Holdings
MITSUBISHI PHARMA CORP	Mitsubishi Chemical Holdings
MITSUBISHI PLASTICS INC	Mitsubishi Chemical Holdings
MITSUBISHI TANABE PHARMA CORP	Mitsubishi Chemical Holdings
MITSUI CHEMICALS INC	Mitsui Chemicals
ML LAB PLC	ML Laboratories
MOCHIDA PHARM CO LTD	Mochida
MODERNA THERAPEUTICS INC	Moderna
MOERAE MATRIX INC	Moerae Matrix
MOMENTIVE PERFORMANCE MAT INC	Momentive Performance Materials
MONTELINO THERAPEUTICS INC	Montelino Therapeutics
MONTELINO THERAPEUTICS LLC	Montelino Therapeutics
MOTIVAN LTD	Motivan Ltd.
MS SCIENCE CORP	M Science
MSD INT GMBH	MSD
MSD ITALIA SRL	MSD
MSD KK	Merck
MSN LAB LTD	MSN Laboratories
MSN LABORATORIES PRIVATE LTD	MSN Laboratories
MSN LABORATORIES PRIVATE LTD R&D CENTER	MSN Laboratories
MTA TÃMOGATOTT KUTATÃ“CSOPORTOK IRODÃJA	Hungarian Academy of Sciences
MURORAN INST TECH	Muroran Institute of Technology
MUSC FOUND FOR RES DEV	Zucker Institute for Innovation Commercialization
MYOTHERIX INC	MyoTherix
MYRIAD PHARMACEUTICALS INC	Myriad Genetics
Mbd co ltd	Medical & Bio Decision
N.V. ORGANON	Organon International
NAHLS CORP CO LTD	NAHLS Corporation
NAHLS CORP CO LTD	NAHLS Corporation
NANJING ALLGEN PHARMA CO LTD	Najing Allgen Pharam Co. Ltd.
NANJING CHIA TAI TIANQING PHARMACEUTICAL CO LTD	Charoen Pokphand Group
NANJING SANHOME PHARMACEUTICAL CO LTD	SANHOME
NAT HEALTH RESEARCH INSTITUTES	National Health Research Institutes (NHRI)
NAT INST OF ADVANCED IND SCIEN	National Institute of Advanced Industrial Science and technology (AIST)
NAT INST OF HEALTH REPRESENTED BY THE SECRETARY OF THE DEPT OF HEALTH AND HUMAN SERVICES NAT INST OF	United States Department of Health and Human Services
NAT INSTITUTE OF BIOLOGICAL SCIENCES BEIJING	National Institute of Biological Sciences
NAT INSTITUTES OF HEALTH UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	United States Department of Health and Human Services
NAT SCIENCE AND TECHNOLOGY DEV AGENCY	National Science and Technology Development Agency (NSTDA)
NAT UNIV CORP NAGOYA UNIV	Nagoya University
NAT UNIV CORP UNIV TOYAMA	University of Toyama
NAT UNIV SINGAPORE	National University of Singapore
NATCO PHARMA LTD	Natco Pharma
NATIONAL HEALTH RES INST	National Health Research Institutes (NHRI)
NATIONAL INSTITUTES FOR QUANTUM AND RADIOLOGICAL SCIENCE AND TECH	National Institutes for Quantum Science and Technology (QST)
NATIONAL INSTITUTES OF HEALTH (NIH), U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS), U.S. GOVERNMENT	United States Department of Health and Human Services
NATIONAL SCIENCE FOUNDATION	National Science Foundation
NATURON LTD	Naturon Healthcare Limited
NEKTAR THERAPEUTICS AL CORP	Nektar Therapeutics
NEO CREMAR CO LTD	Neo Cremar
NEOPHARM CO LTD	NeoPharm
NERO NORDISK AS	Novo Nordisk
NERVIANO MEDICAL SCIENCES SRL	Nerviano Medical Sciences
NESTEC SA	Nestle
NESTLE SA	Nestle
NEUFORM PHARMACEUTICALS INC	Neuform Pharmaceuticals
NEULAND LAB LTD	Neuland Labs
NEUROCRINE BIOSCIENCES INC	Neurocrine Biosciences
NEUROGASTRX INC	Neurogastrx
NEUROGEN	NeuroGen
NEUROMED PHARMACEUTICALS LTD	Epirus Biopharmaceuticals
NEUROP INC	NeurOp
NEUROPORE THERAPIES INC	Neuropore
NEUROPTIS BIOTECH	Neuroptis Biotech
NEUROSCIENZE PHARMANESS S C A	PharmaNess
NEUROSCIENZE PHARMANESS S C A R L	PharmaNess
NEUROSEARCH AS	NeuroSearch
NEUROVIVE PHARMACEUTICAL AB	Abliva
NEW MEXICO TECHNICAL RES FOUNDATION	New Mexico Technical Research Foundation
NEWLINK GENETICS CORP	NewLink Genetics
NEWRON PHARM SPA	Newron Pharmaceuticals
NEXGENIX PHARMACEUTICALS	NexGenix Pharmaceuticals
NGAGEIT DIGITAL HEALTH INC	nGageIT Digital Health
NICOX S.A.	NicOx
NICOX SA	NicOx
NIMBUS LAKSHMI INC	Nimbus
NIPPON SHINYAKU CO LTD	Nippon Shinyaku Co.
NIPPON SODA CO	Nippon Soda
NIPPON SUISAN KAISHA LTD	Nippon Suisan Kaisha
NISHIZAKI BIOINFORMATION RESEARCH INSTITUTE	Innovative Bioinformation Research Organization Japan
NISSAN CHEMICAL CORP	Nissan Chemical Industries
NISSAN CHEMICAL IND LTD	Nissan Chemical Industries
NITROGENIX INC	Nitrogenx
NITROMED INC	NitroMed
NITTO DENKO CORP	Nitto Denko
NLIFE THERAPEUTICS S L	nLife Therapeutics
NOBEL BIOSCIENCES LLC	Noble Life Sciences
NODALITY INC	Nodality
NOF CORP	NOF CORPORATION
NOGRA PHARMA LTD	Nogra Pharma
NORGINE BV	Norgine
NORTH CAROLINA CENTRAL UNIV	North Carolina Central University
NORTH CHINA PHARMACEUTICAL NEW DRUG R & D CO LTD	North China Pharmaceutical Group Corp
NORTH CHINA PHARMACEUTICAL NEW DRUG R&D CO LTD	North China Pharmaceutical Group Corp
NOVAER HOLDINGS INC	NOVAER
NOVARTIS AG	Novartis
NOVARTIS PHARMA AG	Novartis
NOVARTIS VACCINES & DIAGNOSTIC	Novartis
NOVASEARCH AG	Novasearch
NOVO NORDISK A/S	Novo Nordisk
NOVO NORDISK AS	Novo Nordisk
NOVO NORDISK INC	Novo Nordisk
NOVOL INC	NovolBio
NOVOZYMES AS	Novo Holdings
NOVOZYMES INC	Novo Holdings
NOXELL CORP	Noxell
NUEVOLUTION AS	Nuevolution
NYCOMED GMBH	Nycomed
NZP UK LTD	New Zealand Pharmaceuticals Ltd
NuCana plc	NuCana
OBALON THERAPEUTICS INC	Obalon Therapeutics
OBSIDIAN THERAPEUTICS INC	Obsidian Therapeutics
OCCIDENTAL CHEM CO	Oxy
OCEANS KING LIGHTING SCIENCE	Ocean's King Lighting Science & Technology
OCUTERRA THERAPEUTICS INC	OcuTerra Therapeutics
OF NEW YORK THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY	The Trustees Of Columbia University
OGAWA & CO LTD	Ogawa and Co., Ltd.
OHIO STATE INNOVATION FOUNDATION	Ohio State Innovation Foundation
OLIPASS CORP	OliPass Corporation
OLON SPA	Fiore Holding
OMEROS CORP	Omeros
ONCO THERAPIES LLC	ONCOtherapeutics
ONCOMED PHARM INC	Mereo BioPharma Group
ONCOSYNERGY INC	OncoSynergy
ONCOTARTIS INC	OncoTartis
ONCOTHERAPY SCIENCE INC	OncoTherapy Science
ONCTERNAL THERAPEUTICS INC	Oncternal Therapeutics
ONO PHARMACEUTICAL CO	Ono Pharmaceutical
ONO PHARMACEUTICAL CO., LTD.	Ono Pharmaceutical
ONTOGENESIS LLC	Ontogenesis
ONTOGENESIS, LLC	Ontogenesis
ORAL DELIVERY TECHNOLOGY LTD	Entera
ORCHID CHEMICALS & PHARM LTD	Orchid Pharma
ORCHID RES LAB LTD	Orchid Pharma
OREAL	L'Oreal
ORGANIX INC	
ORGANON NV	Organon International
ORION CORP	Orion Corporation
ORION CORPORATION	Orion Corporation
OSLO UNIVERSITY HOSPITAL HF	Oslo University Hospital
OSRAM OPTO SEMICONDUCTORS GMBH	Osram Opto Semiconductors GmbH
OSTA BIOTECHNOLOGIES	BW Biotechnologies
OSTA BIOTECHNOLOGIES INC	OSTA Biotechnologies Inc
OTSUKA CHEMICAL CO LTD	Otsuka Pharmaceutica
OTSUKA CHEMICAL HOLDINGS CO LTD	Otsuka Pharmaceutica
OTSUKA PHARMA CO LTD	Otsuka Pharmaceutica
OTTAWA HOSPITAL RES INST	Ottawa Hospital Research Institute
Orionis Biosciences BV	Orionis Biosciences
PACIFIC BIOSCIENCES CALIFORNIA	Pacific Biosciences
PACIFIC BIOSCIENCES CALIFORNIA INC	Pacific Biosciences
PALACKY UNIVERSITY OLOMOUC	Palacky University Olomouc
PANACEA BIOTEC LTD	Panacea Biotec
PANACOS PHARMACEUTICALS INC	Panacos Pharmaceuticals
PANMIRA PHARMACEUTICALS INC	Panmira Pharmaceuticals
PANMIRA PHARMACEUTICALS LLC	Panmira Pharmaceuticals
PARIS SCIENCES ET LETTRE - QUARTIER LATIN	PSL Research University
PARIS SCIENCES ET LETTRES	PSL Research University
PARIS SCIENCES ET LETTRES – QUARTIER LATIN	PSL Research University
PARIS SCIENCES LETTRES QUARTIER LATIN	PSL Research University
PARKER HUGHES INST	Parker Hughes Institute
PARKINSONS INST	Parkinson's Institute
PASTEUR INSTITUT	Pasteur Institute
PEPSICO INC	PepsiCo
PERENNA PHARMACEUTICALS INC	Perenna Pharmaceuticals
PERKINELMER LAS INC	PerkinElmer
PERPETUUM VENTURES BVBA	Perpetuum ventures
PERPETUUM VENTURES NV	Perpetuum ventures
PERPRIN S R L	Perprin
PETER MACCALLUM CANCER INST	The Peter Maccallum Cancer Centre
PF MEDICAMENT	Pierre Fabre
PFIZER	Pfizer
PFIZER INC	Pfizer
PFIZER INC.	Pfizer
PFIZER JAPAN INC	Pfizer
PFIZER LTD	Pfizer
PFIZER PROD INC	Pfizer
PFIZER PRODUCTS INC.	Pfizer
PH PHARMA CO LTD	pH Pharma
PHAMACOGENETICS LTD	PharmacoGenetics Ltd. (PGL)
PHARMA CO LTD J	J-Pharma
PHARMACIA ITALIA SPA	Farmacia Italia
PHARMACOGENETICS LTD	PharmacoGenetics
PHARMACOPEIA DRUG DISCOVERY	US Pharmacopeia
PHARMACOPEIA INC	US Pharmacopeia
PHARMACOPEIA, LLC	US Pharmacopeia
PHARMAXIS LTD	Pharmaxis
PHARMOS CORP	Pharmos
PHARMPUR GMBH	Pharmpur
PHASEBIO PHARMACEUTICALS INC	PhaseBio
PHENEX PHARMACEUTICALS AG	Phenex Pharmaceuticals
PHOENIX MOLECULAR DESIGNS	Phoenix Molecular Designs
PHYTO CORP LTD	Phyto Corporation
PIRAMAL ENTPR LTD	Piramal Group
PLEXXIKON INC	Daiichi Sankyo
PLIVA PHARM & CHEM WORKS	Pliva
POCHE PALO ALTO LLC	Palo Alto Networks
POLYACTIVA PTY LTD	PolyActiva
POLYMASTER LTD	Polymaster
PORTOLA PHARM INC	Portola Pharmaceuticals
PPG INDUSTRIES INC	PPG Industries
PRANA BIOTECHNOLOGY LTD	Prana Biotechnology Ltd
PRECEDO PHARMACEUTICALS CO LTD	Hefei PreceDo pharmaceuticals
PRECITHERA INC	PreciThera
PRELUDE THERAPEUTICS INC	Prelude Therapeutics
PROBIODRUG AG	Vivoryon Therapeutics
PROCTER & GAMBLE	Procter and Gamble
PRODUCTIVE AGING LABORATORY CO LTD	NOMON
PROGENITY INC	Biora Therapeutics
PROLIFIX LTD	Prolifics
PROMEGA CORP	Promega
PROMETHEUS BIOSCIENCES INC	Prometheus Biosciences
PROSIDION LTD	Prosidion Limited
PSYCHNOSTICS LLC	PsychNostics
PTC THERAPEUTICS INC	PTC Therapeutics
PURDUE PHARMA LP	Purdue Pharma
PURDUE RESEARCH FOUNDATION	Purdue Research Foundation
PUSAN NAT UNIV IND COOP FOUND	Pusan National University
PUSAN NAT UNIVERSITY INDUSTRYUNIVERSITY	Pusan National University
PWAI LLC	PWAI
QILU PHARMACEUTICAL CO LTD	Qilu pharmaceutical
QUAKER OATS CO	Quaker Oats Company
QUEEN MARY & WESTFIELD COLLEGE	Queen Mary & Westfield College
RAIN THERAPEUTICS INC	Rain Therapeutics
RANDOX LAB LTD	Randox Laboratories
RAQUALIA PHARMA INC	RaQualia Pharma
RAZE THERAPEUTICS INC	Raze Therapeutics
REATA PHARMACEUTICALS INC	Reata Pharmaceuticals
RECORDATI CHEM PHARM	Recordati
RECURIUM IP HOLDINGS LLC	Recurium
REDDYS LAB LTD DR	Dr. Reddy's Laboratories
REDX PHARMA LTD	Redx Pharma
REDX PHARMA PLC	Redx Pharma
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE	Regents of the University of California
RELAXSOL LTD	RelaxSol
REMYND NV	reMYND
RENASCIENCE CO LTD	Renascience
RENSSELAER POLYTECH INST	Rensselaer Polytechnic Institute
REPHARTOX	Rephartox
REPLIGEN CORP	Repligen Corporation
RESEARCH FOUNDATION OF THE CITY, THE	Research Foundation of The City University of New York
RESET THERAPEUTICS INC	Reset Therapeutics
RESILIO COMPANY LTD	Resilio
RESOLUTION PERFORMANCE PRODUCT	Resolution Performance Products
RESPIRATORIUS AB	Respiratorius
REVIVA PHARMACEUTICALS INC	Reviva
REVOLUTION MEDICINES INC	Revolution Medicines
RGENIX INC	Inspirna
RHIZEN PHARMACEUTICALS S A	Rhizen
RHIZEN PHARMACEUTICALS SA	Rhizen
RHODES TECH	Rhodes Pharmaceuticals
RHODES TECHNOLOGIES	Rhodes Pharmaceuticals
RHODIA CHIMIE SA	Rhodia
RIB X PHARMACEUTICALS INC	Melinta Therapeutics
RICHTER GEDEON NYRT.	Gedeon Richter
RICHTER GEDEON VEGYESZET	Gedeon Richter
RIGEL PHARMACEUTICALS INC	Rigel Pharmaceuticals
RIKEN	Riken
RISEN SUZHOU PHARMA TECH CO LTD	Risen Pharma
RITCHER GEDEON NYRT	Gedeon Richter
ROCHE BIOSCIENCE	Roche
ROCHE DIAGNOSTICS GMBH	Roche
ROCHE PALO ALTO LLC	Roche
ROOTPATH GENOMICS INC	Rootpath
RUGEN HOLDINGS (CAYMAN) LTD	Rugen Therapeutics
RUGEN HOLDINGS CAYMAN LTD	Rugen Therapeutics
RXI PHARMACEUTICALS CORP	Phio Pharmaceuticals
RYTEK	RyTek Medical
S&T GLOBAL INC	S and T Global
SAGAMI CHEM RES	Sagami Chemical Research Institute (SCRI)
SAGE THERAPEUTICS INC	Sage Therapeutics
SALK INST FOR BIOLOGICAL STUDI	Salk Institute for Biological Studies
SALVAT LAB SA	Salvat
SAMSUNG ELECTRONICS CO LTD	Samsung Electronics
SAMUMED LLC	Biosplice Therapeutics
SANDIA CORP	Sandia National Laboratories
SANFORD BURNHAM MED RES INST	Sanford Burnham Prebys
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INST	Sanford Burnham Prebys Medical Discovery Institute
SANFORD-BURNHAM MEDICAL RES INST	Sanford Burnham Prebys Medical Discovery Institute
SANKYO CO	Daiichi Sankyo
SANOFI AVENTIS	Sanofi
SANOFI AVENTIS DEUTSCHLAND	Sanofi
SANOFI SA	Sanofi
SANOFI SYNTHELABO	Sanofi
SANOFI-AVENTIS	Sanofi
SANOFI-AVENTIS DEUTSCHLAND GMBH	Sanofi
SANOFIS AVENTIS	Sanofi
SANTEN PHARMA CO LTD	Santen
SANYO CHEMICAL IND LTD	Sanyo Chemical
SANYO CHEMICAL IND LTD	Sanyo Chemical
SATORI PHARMACEUTICALS INC	Satori Pharmaceuticals
SCHEPENS EYE RES INST	Schepens Eye Research Institute
SCHERING CORP	Schering-Plough Corporation
SCHRODINGER INC	Schroedinger, Inc.
SCHROEDINGER INC	Schroedinger, Inc.
SCINOPHARM KUNSHAN BIOCHEMICAL TECHNOLOGY CO LTD	Scinopharm
SCION NEUROSTIM LLC	Scion NeuroStim
SCION PHARMACEUTICALS INC	Scion Pharmaceuticals
SCOHIA PHARMA INC	Scohia Pharma
SCRIPPS HEALTH	Scripps Health
SCRIPPS RESEARCH INST	The Scripps Research Institute
SEALIFE PHARMA GMBH	Sealife Pharma
SEARLE & CO	Searle
SEARLE LLC	Searle
SEASONS BIOTECHNOLOGY (TAIZHOU) CO LTD	Changsha Puji Biotechnology Co., Ltd.
SEASONS BIOTECHNOLOGY TAIZHOU CO LTD	Changsha Puji Biotechnology Co., Ltd.
SEATTLE CHILDRENS HOSPITAL DBA SEATTLE CHILDRENS RES INST	Seattle Children's Research Institute
SEATTLE GENETICS INC	Seagen
SECR DEFENCE	Secretary of State for Defence
SEEFELD MARK A	Seefeld Mark A
SEKISUI CHEMICAL CO LTD	Sekisui Chemical
SELCIA LTD	Selcia
SEMICONDUCTOR ENERGY LAB	Semiconductor Energy Laboratory
SEMINIS VEGETABLE SEEDS INC	Seminis
SENDA BIOSCIENCES INC	Senda
SENSORYGEN INC	Sensorygen
SENTINEL ONCOLOGY LTD	Sentinel Oncology
SERENEX INC	Pfizer
SERENTIS LTD	Serentis
SERES THERAPEUTICS INC	Seres Therapeutics
SERONO LAB	Merck
SERVIER LAB	Servier
SHAGNHAI INST OF MATERIA MEDICA CHINESE ACADEMY OF SCIENCES	Shanghai Institute of Materia Medica Chinese Academy of Sciences
SHANGHAI AI QI ECOLOGICAL TECH CO LTD	Leapstack
SHANGHAI AI QI ECOLOGICAL TECHNOLOGY CO LTD	Leapstack
SHANGHAI ALLIST PHARMACEUTICALS INC	Ellis
SHANGHAI DUDE MEDICAL TECH CO LTD	DudeMed
SHANGHAI FOCHON PHARMACEUTICAL CO LTD	Fochon Pharmaceuticals
SHANGHAI HAIYAN PHARMACEUTICAL TECH CO LTD	Shanghai Haiyan Pharmaceutical Technology Co., Ltd
SHANGHAI HAIYAN PHARMACEUTICAL TECHNOLOGY CO LTD	Shanghai Haiyan Pharmaceutical Technology Co., Ltd
SHANGHAI HANSOH BIOMEDICAL CO LTD	Hansoh Pharma
SHANGHAI INSITITUTE OF ORGANIC CHEMISTRY CHINESE ACAD OF SCIENCES	
SHANGHAI INST MATERIA MEDICA	Shanghai Institute of Materia Medica
SHANGHAI INST MATERIA MEDICA CAS	Shanghai Institute of Materia Medica
SHANGHAI INST MATERIA MEDICA CHINESE ACADEMY OF SCIENCES	Shanghai Institute of Materia Medica
SHANGHAI INST OF MATERIAL MEDICA CHINESE ACADEMY OF SCIENCES	Shanghai Institute of Materia Medica
SHANGHAI PHARMACEUTICALS HOLDING CO LTD	Shanghai Pharmaceuticals
SHANGHAI SUN SAIL PHARMACEUTICAL SCIENCE & TECHNOLOGY CO LTD	Shanghai Sun-Sail Pharmaceuticals
SHANGHAI SYNERGY PHARMACEUTICAL SCIENCES CO LTD	Shanghai Synergy Pharmaceutical Sciences
SHANGHAI YAO YUAN BIOTECHNOLOGY CO LTD	Drug Farm
SHATTUCK LABS INC	Shattuck Labs
SHEARWATER CORP	Shearwater
SHELL OIL CO	Shell Oil Company
SHELL OIL COMPANY	Shell Oil Company
SHENZEN CHIPSCREEN BIOSCIENCE	Chipscreen Biosciences
SHENZHEN CHIPSCREEN BIOSCIENCES LTD	Chipscreen Biosciences
SHENZHEN FORWARD PHARMACEUTICALS CO LTD	Forward-Pharm
SHENZHEN HIGHTIDE BIOPHARMACEUTICAL LTD	HighTide
SHENZHEN SALUBRIS PHARM CO LTD	Shenzhen Salubris Pharmaceuticals
SHENZHEN TARGETRX INC	Shenzhen TargetRx
SHILPA MEDICARE LTD	Shilpa Medicare Limited
SHIMADZU CORP	Shimadzu
SHINETSU CHEMICAL CO	Shin-Etsu Chemical
SHIONOGI & CO	Shionogi
SHIONOGI & CO., LTD.	Shionogi
SHISEIDO CO LTD	Shiseido Company
SHOFU INC	Shofu Global
SHY Therapeutics LLC	SHY Therapeutics
SI CHUAN UNIV	Sichuan University
SI CHUAN UNIVERSITY	Sichuan University
SICHUAN HAISCO PHARMACEUTICAL CO LTD	Haisco Pharmaceutical
SIEMENS AG	Siemens
SIEMENS MEDICAL SOLUTIONS	Siemens
SIEMENS MOLECULAR IMAGING INC	Siemens
SIGA TECH INC	SIGA Technologies
SIGA TECHNOLOGIES INC	SIGA Technologies
SIGMA TAU IND FARMACEUTI	Leadiant Biosciences
SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.	Leadiant Biosciences
SIGNAL PHARM INC	Signal Pharmaceuticals
SIGNAL PHARM LLC	Signal Pharmaceuticals
SIGNAL PHARMACEUTICAL LLC	Signal Pharmaceuticals
SIGNAL PHARMACEUTICALS, LLC	Signal Pharmaceuticals
SIKA TECH AG	Sika Technology
SILVERBACK THERAPEUTICS INC	Silverback Therapeutics
SINGLE CELL TECH INC	Single-Cell Technologies
SINTEF TTO AS	SINTEF TTO
SINVENT AS	Sinvent AS
SIRUS PHARMACEUTICALS LTD	Sirius Pharmaceuticals
SITEONE THERAPEUTICS INC	SiteOne Therapeutics
SITRYX THERAPEUTICS LIMITED	Sitryx
SK CHEMICALS CO LTD	SK Group
SK CHEMICALS CO., LTD.	SK Group
SK CORP	SK Group
SK HOLDINGS CO LTD	SK Group
SLAON KETTERING INST FOR CANCE	Memorial Sloan Kettering Cancer Center (MSKCC)
SLOAN KETTERING INST CANCER	Memorial Sloan Kettering Cancer Center (MSKCC)
SLOAN KETTERING INST CANCER RES	Memorial Sloan Kettering Cancer Center (MSKCC)
SLOAN-KETTERING INST FOR CANCER RES	Memorial Sloan Kettering Cancer Center (MSKCC)
SMITH HOWARD J & ASS PTY LTD	Howard J Smith & Associates Pty Ltd
SMITHKLINE BEECHAM	GlaxoSmithKline
SMITHKLINE BEECHAM CORP	GlaxoSmithKline
SMITHKLINE BEECHAM CORPORATION`GlaxoSmithKline	GlaxoSmithKline
SMITHKLINE BEECHAM P.L.C.	GlaxoSmithKline
SMITHKLINE BEECHAM PLC	GlaxoSmithKline
SNAP BIO INC	Snap Bio
SOCPRA SCIENCES SANTE ET HUMAINES S E C	Socpra Sciences
SOD CONSEILS RECH APPLIC	SOD Council Rech Application
SOLUS ADVANCED MAT CO LTD	Solus Advanced Materials
SOLVAY	Solvay
SOLVAY PHARM BV	Solvay
SOLVAY PHARM GMBH	Solvay
SOLVAY PHARMACEUTICAL GMBH	Solvay
SOUTHERN RES INST	Southern Research
SPEEDEL PHARMA AG	Speedel Pharma
SPRIASO LLC	Spriaso
SQUIBB BRISTOL MYERS CO	Bristol Myers Squibb
ST JUDE CHILDREN'S RES HOSPITAL	St. Jude Children's Research Hospital
ST JUDE CHILDRENS RES HOSPITAL	St. Jude Children's Research Hospital
STATE OF OREGON BY & THROUGH THE STATE BOARD OF HIGHER EDUCATION ON BEHALF OF PORTLAND STATE UNV	Portland State University
STC UNM	STC University of New Mexico
STEINBEIS TRANSFERZENTRUM FÜR BIOPOLYMERANALYTIK UND BIOMOLEKÜL MASSENSPEKTROMETRIE	Steinbeis Chemie
STICHTING HET NL KANKER INST ANTONI VAN LEEUWENHOEK ZIEKENHUIS	The Netherlands Cancer Institute
STICHTING VU VUMC	Stichting VU
STOKELY VAN CAMP INC	Stokely-Van Camp
STORM THERAPEUTICS LTD	STORM Therapeutics
SUGAI CHEMICAL IND CO LTD	Sugai Chemical Industry Co. Ltd
SULFIDRIS S R L	Sulfidris
SUMITOMO BAKELITE CO	Sumitomo Bakelite Company Limited
SUMITOMO CHEMICAL CO	Sumitomo Chemical
SUMITOMO DAINIPPON PHARMA CO LTD	Sumitomo Chemical
SUMITOMO DAINIPPON PHARMA ONCOLOGY INC	Sumitomo Chemical
SUMITOMO PHARMA	Sumitomo Chemical
SUMMIT CORP PLC	Summit Therapeutics
SUN CHEMICAL CORP	Sun Pharmaceutical
SUN MEDICAL CO LTD	Sun Pharmaceutical
SUN PHARMACEUTICAL IND LTD	Sun Pharmaceutical
SUNSHINE LAKE PHARMA CO LTD	HEC Pharm Gmbh
SUNTORY HOLDINGS LTD	Suntory
SUNTORY LTD	Suntory
SURFACE LOGIX INC	Surface Logix
SURFIX B V	MM
SUZHOU MIRACPHARMA TECH CO LTD	Miracpharma
SUZHOU PENGXU PHARMATECH CO LTD	Suzhou Pengxu Pharmaceuticals
SUZHOU VIVOTIDE BIOTECHNOLOGIES CO LTD	Vivotide
SUZHOU ZELGEN BIOPHARMACEUTICAL CO LTD	Zelgen Biopharmaceuticals
SUZHOU ZELGEN BIOPHARMACEUTICALS CO LTD	Zelgen Biopharmaceuticals
SVENOX PHARMACEUTICALS LLC	Svenox
SWITCH BIOTECH AG	Switch Biotech
SWK FUNDING LLC	SWK Holdings
SYMED LABS LTD	Symed Labs
SYMPHONY EVOLUTION INC	Symphony Evolution
SYMRISE AG	Symrise
SYMRISE GMBH & CO KG	Symrise
SYNCHRONICITY PHARMA INC	Synchronicity Pharma
SYNDAX PHARMACEUTICALS INC	Syndax Pharmaceuticals
SYNERGY PHARMACEUTICALS INC	Synergy Pharmaceuticals
SYNEURX INT TAIWAN CORP	SyneuRx
SYNGENTA CROP PROT INC	Syngenta
SYNGENTA CROP PROTECTION AG	Syngenta
SYNGENTA LTD	Syngenta
SYNGENTA PARTICIPATIONS AG	Syngenta
SYNTA PHARMACEUTICALS CORP	Synta Pharmaceuticals
SYNTEX (U.S.A.) LLC	Syntex America
SYNTEX LLC	Syntex America
SYNTEX USA LLC	Syntex America
SYNTHEKINE, INC.	Synthekine
SYNTHON BIOPHARMACEUTICALS BV	Synthon
SYNTHON BV	Synthon
SYNTONIX PHARMACEUTICALS INC	Biogen
SYSMEX CORP	Sysmex Corporation
Seattle Children's Hospital (dba Seattle Children's Research Institute)	Seattle Children's Research Institute
Suzhou Abogen Biosciences Co., Ltd.	Abogen Biosciences
TAIGA BIOTECHNOLOGIES INC	Taiga Biotechnologies
TAISHO PHARMA CO LTD	Taisho Pharmaceutical Holdings
TAKADA PHARMACEUTICALS U S A INC	Takeda Pharmaceutical Company
TAKARA BIO USA INC	Takara Bio USA
TAKASAGO PERFUMERY CO LTD	Takasago International Corporation
TAKEDA CHEMICAL INDUSTRIES LTD	Takeda Pharmaceutical Company
TAKEDA GMBH	Takeda Pharmaceutical Company
TAKEDA PHARMACEUTICAL	Takeda Pharmaceutical Company
TAKEDA PHARMACEUTICAL COMPANY LIMITED	Takeda Pharmaceutical Company
TAKEDA PHARMACEUTICALS CO	Takeda Pharmaceutical Company
TAKEDA SAN DIEGO INC	Takeda Pharmaceutical Company
TANABE SEIYAKU CO	Mitsubishi Tanabe Pharma Corporation
TANGO THERAPEUTICS INC	Tango Therapeutics
TAP PHARMACEUTICAL PROD INC	TAP Pharmaceuticals
TARAPEUTICS SCIENCE INC	Tarapeutics Science
TARIX PHARMACEUTICALS LTD	Tarix Pharmaceuticals
TARO PHARMA IND	Taro Pharmaceutical Industries
TAYCA CORP	Tayca Corporation
TECHFIELDS PHARMA CO LTD	Techfields
TECHNION RES & DEV FOUNDATION	Technion Research & Development Foundation
TECHNOLOGY INNOVATIONS LLC	Tech Innovations
TEIJIN PHARMA LTD	Teijin Limited
TEIKOKU HORMONE MFG CO LTD	ASKA Pharmaceutical Co. Ltd.
TELIGENE LTD	Teligene
TELIK INC	Telik
TEMPERO PHARMACEUTICALS INC	Tempero Pharmaceuticals
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION	Temple University
TEMPUS LABS INC	Tempus
TEON THERAPEUTICS INC	Teon Therapeutics
TERNS PHARMACEUTICALS INC	Terns Pharmaceuticals
TES PHARMA S R I	Tes Pharma
TES PHARMA S R L	Tes Pharma
TEVA PHARMA	Teva Pharmaceuticals
TEXAS A & M UNIV SYS	Texas A&M University System
THC PHARM GMBH	THC Pharm
THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND	The Administrators of the Tulane Educational Fund
THE BRAIN PROT COMPANY PTY LTD	Brain Protection Company
THE BRIGHAM AND WOMAN'S HOSPITAL INC	Brigham and Women's Hospital
